zip,provider,zone
07960,Comcast,A
07974                                                                                                                    ,Comcast,A
07976,Comcast,A
07977,Comcast,A
07978,Comcast,A
07979,Comcast,A
07980,Comcast,A
08001,Comcast,A
08002                                                                                                                    ,Comcast,A
08003                                                                                                                    ,Comcast,A
08004                                                                                                                    ,Comcast,A
08004,Comcast,A
08005                                                                                                                    ,Comcast,A
08006                                                                                                                    ,Comcast,A
08007                                                                                                                    ,Comcast,A
08008                                                                                                                ,Comcast,A
08009                                                                                                                    ,Comcast,A
08009,Comcast,A
08010,Comcast,A
08010                                                                                                                    ,Comcast,A
08011                                                                                                                    ,Comcast,A
08012                                                                                                                    ,Comcast,A
08012,Comcast,A
08012                                                                                                                    ,Comcast,A
08014,Comcast,A
08015                                                                                                                    ,Comcast,A
08016                                                                                                                    ,Comcast,A
08016                                                                                                                    ,Comcast,A
08017,Comcast,A
08018,Comcast,A
08020                                                                                                                    ,Comcast,A
08021                                                                                                                    ,Comcast,A
08022                                                                                                                    ,Comcast,A
08023,Comcast,A
08025,Comcast,A
08026                                                                                                                    ,Comcast,A
08027                                                                                                                    ,Comcast,A
08028,Comcast,A
08028                                                                                                                    ,Comcast,A
08029                                                                                                                    ,Comcast,A
08030                                                                                                                    ,Comcast,A
08030                                                                                                                    ,Comcast,A
08031                                                                                                                    ,Comcast,A
08032,Comcast,A
08033                                                                                                                    ,Comcast,A
08034                                                                                                                    ,Comcast,A
08035                                                                                                                    ,Comcast,A
08036                                                                                                                    ,Comcast,A
08037,Comcast,A
08038,Comcast,A
08039,Comcast,A
08041                                                                                                                    ,Comcast,A
08042                                                                                                                    ,Comcast,A
08043                                                                                                                    ,Comcast,A
08045                                                                                                                    ,Comcast,A
08046                                                                                                                    ,Comcast,A
08046                                                                                                                    ,Comcast,A
08048                                                                                                                    ,Comcast,A
08049                                                                                                                    ,Comcast,A
08050                                                                                                                    ,Comcast,A
08051                                                                                                                    ,Comcast,A
08052                                                                                                                    ,Comcast,A
08052                                                                                                                    ,Comcast,A
08053                                                                                                                    ,Comcast,A
08054                                                                                                                    ,Comcast,A
08055                                                                                                                    ,Comcast,A
08056                                                                                                                    ,Comcast,A
08057                                                                                                                    ,Comcast,A
08057                                                                                                                    ,Comcast,A
08059                                                                                                                    ,Comcast,A
08060                                                                                                                    ,Comcast,A
08060                                                                                                                    ,Comcast,A
08061                                                                                                                    ,Comcast,A
08062,Comcast,A
08062                                                                                                                    ,Comcast,A
08063                                                                                                                    ,Comcast,A
08064                                                                                                                    ,Comcast,A
08065                                                                                                                    ,Comcast,A
08066                                                                                                                    ,Comcast,A
08067,Comcast,A
08068                                                                                                                    ,Comcast,A
08069                                                                                                                    ,Comcast,A
08069,Comcast,A
08070,Comcast,A
08071                                                                                                                    ,Comcast,A
08071,Comcast,A
08071                                                                                                                    ,Comcast,A
08072,Comcast,A
08073                                                                                                                    ,Comcast,A
08074,Comcast,A
08074                                                                                                                    ,Comcast,A
08075                                                                                                                    ,Comcast,A
08077                                                                                                                    ,Comcast,A
08078                                                                                                                    ,Comcast,A
08079,Comcast,A
08080,Comcast,A
08080                                                                                                                    ,Comcast,A
08081                                                                                                                    ,Comcast,A
08081,Comcast,A
08083                                                                                                                    ,Comcast,A
08084                                                                                                                    ,Comcast,A
08085,Comcast,A
08085                                                                                                                    ,Comcast,A
08086                                                                                                                    ,Comcast,A
08087                                                                                                                    ,Comcast,A
08088                                                                                                                    ,Comcast,A
08089,Comcast,A
08090                                                                                                                    ,Comcast,A
08091                                                                                                                    ,Comcast,A
08092                                                                                                                    ,Comcast,A
08093                                                                                                                    ,Comcast,A
08094,Comcast,A
08094                                                                                                                    ,Comcast,A
08095,Comcast,A
08096                                                                                                                    ,Comcast,A
08097                                                                                                                    ,Comcast,A
08098,Comcast,A
08101                                                                                                                    ,Comcast,A
08102                                                                                                                    ,Comcast,A
08103                                                                                                                    ,Comcast,A
08103,Comcast,A
08104                                                                                                                    ,Comcast,A
08105                                                                                                                    ,Comcast,A
08106                                                                                                                    ,Comcast,A
08107                                                                                                                    ,Comcast,A
