zip,provider,zone
30240,Charter,A
30241,Charter,A
30248,Charter,A
30251,Charter,A
30252,Charter,A
30253,Charter,A
30256,Charter,A
30257,Charter,A
30258,Charter,A
30259,Charter,A
30263,Charter,A
30265,Charter,A
30268,Charter,A
30273,Charter,A
30275,Charter,A
30276,Charter,A
30277,Charter,A
30281,Charter,A
30286,Charter,A
30289,Charter,A
30292,Charter,A
30293,Charter,A
30294,Charter,A
30295,Charter,A
30297,Charter,A
30303,Charter,A
30305,Charter,A
30315,Charter,A
30318,Charter,A
30327,Charter,A
30328,Charter,A
30331,Charter,A
30339,Charter,A
30341,Charter,A
30350,Charter,A
30467,Charter,A
30501,Charter,A
30502,Charter,A
30504,Charter,A
30506,Charter,A
30507,Charter,A
30515,Charter,A
30517,Charter,A
30518,Charter,A
30519,Charter,A
30527,Charter,A
30528,Charter,A
30530,Charter,A
30533,Charter,A
30534,Charter,A
30542,Charter,A
30543,Charter,A
30548,Charter,A
30553,Charter,A
30554,Charter,A
30564,Charter,A
30566,Charter,A
30601,Charter,A
30602,Charter,A
30604,Charter,A
30605,Charter,A
30606,Charter,A
30607,Charter,A
30609,Charter,A
30612,Charter,A
30619,Charter,A
30621,Charter,A
30622,Charter,A
30628,Charter,A
30629,Charter,A
30630,Charter,A
30633,Charter,A
30642,Charter,A
30643,Charter,A
30646,Charter,A
30647,Charter,A
30648,Charter,A
30650,Charter,A
30655,Charter,A
30663,Charter,A
30666,Charter,A
30669,Charter,A
30677,Charter,A
30680,Charter,A
30683,Charter,A
30705,Charter,A
30707,Charter,A
30708,Charter,A
30710,Charter,A
30711,Charter,A
30720,Charter,A
30721,Charter,A
30724,Charter,A
30726,Charter,A
30728,Charter,A
30730,Charter,A
30731,Charter,A
30735,Charter,A
30736,Charter,A
30738,Charter,A
30739,Charter,A
30740,Charter,A
30741,Charter,A
30742,Charter,A
30747,Charter,A
30750,Charter,A
30751,Charter,A
30752,Charter,A
30753,Charter,A
30755,Charter,A
30756,Charter,A
30757,Charter,A
31014,Charter,A
31021,Charter,A
31022,Charter,A
31024,Charter,A
31026,Charter,A
31027,Charter,A
31029,Charter,A
31031,Charter,A
31032,Charter,A
31034,Charter,A
31036,Charter,A
31061,Charter,A
31062,Charter,A
31082,Charter,A
31089,Charter,A
31091,Charter,A
31139,Charter,A
31554,Charter,A
31804,Charter,A
31805,Charter,A
31807,Charter,A
31808,Charter,A
31811,Charter,A
31816,Charter,A
31822,Charter,A
31823,Charter,A
31826,Charter,A
31827,Charter,A
31830,Charter,A
31831,Charter,A
31833,Charter,A
31836,Charter,A
31901,Charter,A
31903,Charter,A
31904,Charter,A
31905,Charter,A
31906,Charter,A
31907,Charter,A
31909,Charter,A
31917,Charter,A
31999,Charter,A
39817,Charter,A
60033,Charter,A
60047,Charter,A
60071,Charter,A
60081,Charter,A
60098,Charter,A
60135,Charter,A
60145,Charter,A
60152,Charter,A
60178,Charter,A
60180,Charter,A
60440,Charter,A
60523,Charter,A
60538,Charter,A
60613,Charter,A
60616,Charter,A
60631,Charter,A
60654,Charter,A
60914,Charter,A
61008,Charter,A
61032,Charter,A
61072,Charter,A
61073,Charter,A
61080,Charter,A
61081,Charter,A
61101,Charter,A
61102,Charter,A
61111,Charter,A
61115,Charter,A
61254,Charter,A
61265,Charter,A
61350,Charter,A
61401,Charter,A
61550,Charter,A
61701,Charter,A
61705,Charter,A
61802,Charter,A
61822,Charter,A
62002,Charter,A
62010,Charter,A
62012,Charter,A
62016,Charter,A
62018,Charter,A
62024,Charter,A
62025,Charter,A
62034,Charter,A
62035,Charter,A
62040,Charter,A
62048,Charter,A
62049,Charter,A
62052,Charter,A
62059,Charter,A
62060,Charter,A
62061,Charter,A
62062,Charter,A
62067,Charter,A
62084,Charter,A
62087,Charter,A
62090,Charter,A
62095,Charter,A
62201,Charter,A
62203,Charter,A
62204,Charter,A
62205,Charter,A
62206,Charter,A
62207,Charter,A
62208,Charter,A
62214,Charter,A
62215,Charter,A
62216,Charter,A
62218,Charter,A
62219,Charter,A
62220,Charter,A
62221,Charter,A
62223,Charter,A
62225,Charter,A
62226,Charter,A
62230,Charter,A
62231,Charter,A
62232,Charter,A
62234,Charter,A
62236,Charter,A
62239,Charter,A
62240,Charter,A
62243,Charter,A
62245,Charter,A
62246,Charter,A
62249,Charter,A
62254,Charter,A
62258,Charter,A
62260,Charter,A
62263,Charter,A
62265,Charter,A
62266,Charter,A
62269,Charter,A
62271,Charter,A
62275,Charter,A
62278,Charter,A
62281,Charter,A
62282,Charter,A
62286,Charter,A
62289,Charter,A
62293,Charter,A
62294,Charter,A
62298,Charter,A
62301,Charter,A
62450,Charter,A
62521,Charter,A
62523,Charter,A
62650,Charter,A
62704,Charter,A
62715,Charter,A
62801,Charter,A
62803,Charter,A
62808,Charter,A
62814,Charter,A
62831,Charter,A
62864,Charter,A
62870,Charter,A
62872,Charter,A
62881,Charter,A
62882,Charter,A
62896,Charter,A
62898,Charter,A
62959,Charter,A
70002,Charter,A
70003,Charter,A
70043,Charter,A
70070,Charter,A
70071,Charter,A
70090,Charter,A
70301,Charter,A
70310,Charter,A
70340,Charter,A
70341,Charter,A
70343,Charter,A
70344,Charter,A
70346,Charter,A
70352,Charter,A
70353,Charter,A
70356,Charter,A
70360,Charter,A
70363,Charter,A
70364,Charter,A
70371,Charter,A
70372,Charter,A
70374,Charter,A
70375,Charter,A
70377,Charter,A
70380,Charter,A
70390,Charter,A
70391,Charter,A
70393,Charter,A
70394,Charter,A
70395,Charter,A
70397,Charter,A
70401,Charter,A
70402,Charter,A
70403,Charter,A
70420,Charter,A
70421,Charter,A
70422,Charter,A
70426,Charter,A
70427,Charter,A
70431,Charter,A
70433,Charter,A
70435,Charter,A
70436,Charter,A
70437,Charter,A
70438,Charter,A
70443,Charter,A
70444,Charter,A
70445,Charter,A
70446,Charter,A
70447,Charter,A
70448,Charter,A
70449,Charter,A
70451,Charter,A
70452,Charter,A
70454,Charter,A
70455,Charter,A
70456,Charter,A
70457,Charter,A
70458,Charter,A
70459,Charter,A
70460,Charter,A
70461,Charter,A
70462,Charter,A
70463,Charter,A
70464,Charter,A
70466,Charter,A
70470,Charter,A
70471,Charter,A
70503,Charter,A
70506,Charter,A
70512,Charter,A
70515,Charter,A
70516,Charter,A
70524,Charter,A
70525,Charter,A
70526,Charter,A
70534,Charter,A
70535,Charter,A
70537,Charter,A
70541,Charter,A
70543,Charter,A
70546,Charter,A
70550,Charter,A
70551,Charter,A
70556,Charter,A
70559,Charter,A
70570,Charter,A
70576,Charter,A
70577,Charter,A
70578,Charter,A
70584,Charter,A
70586,Charter,A
70589,Charter,A
70706,Charter,A
70711,Charter,A
70723,Charter,A
70726,Charter,A
70733,Charter,A
70743,Charter,A
70744,Charter,A
70754,Charter,A
70763,Charter,A
70769,Charter,A
70774,Charter,A
70785,Charter,A
70809,Charter,A
1002,Charter,A
1003,Charter,A
1005,Charter,A
1007,Charter,A
1009,Charter,A
1010,Charter,A
1013,Charter,A
1020,Charter,A
1022,Charter,A
1027,Charter,A
1028,Charter,A
1033,Charter,A
1035,Charter,A
1036,Charter,A
1040,Charter,A
1056,Charter,A
1057,Charter,A
1060,Charter,A
1068,Charter,A
1069,Charter,A
1073,Charter,A
1074,Charter,A
1075,Charter,A
1080,Charter,A
1081,Charter,A
1082,Charter,A
1083,Charter,A
1085,Charter,A
1089,Charter,A
1095,Charter,A
1103,Charter,A
1104,Charter,A
1105,Charter,A
1106,Charter,A
1107,Charter,A
1108,Charter,A
1118,Charter,A
1128,Charter,A
1129,Charter,A
1151,Charter,A
1201,Charter,A
1224,Charter,A
1225,Charter,A
1226,Charter,A
1230,Charter,A
1235,Charter,A
1236,Charter,A
1237,Charter,A
1266,Charter,A
1366,Charter,A
1375,Charter,A
1376,Charter,A
1432,Charter,A
1434,Charter,A
1450,Charter,A
1451,Charter,A
1452,Charter,A
1460,Charter,A
1463,Charter,A
1467,Charter,A
1468,Charter,A
1469,Charter,A
1471,Charter,A
1472,Charter,A
1473,Charter,A
1501,Charter,A
1503,Charter,A
1504,Charter,A
1505,Charter,A
1506,Charter,A
1507,Charter,A
1508,Charter,A
1510,Charter,A
1515,Charter,A
1516,Charter,A
1518,Charter,A
1519,Charter,A
1520,Charter,A
1521,Charter,A
1522,Charter,A
1524,Charter,A
1525,Charter,A
1526,Charter,A
1527,Charter,A
1529,Charter,A
1531,Charter,A
1532,Charter,A
1534,Charter,A
1535,Charter,A
1536,Charter,A
1537,Charter,A
1538,Charter,A
1540,Charter,A
1541,Charter,A
1542,Charter,A
1543,Charter,A
1545,Charter,A
1550,Charter,A
1560,Charter,A
1562,Charter,A
1566,Charter,A
1568,Charter,A
1569,Charter,A
1570,Charter,A
1571,Charter,A
1581,Charter,A
1583,Charter,A
1585,Charter,A
1588,Charter,A
1590,Charter,A
1602,Charter,A
1603,Charter,A
1604,Charter,A
1605,Charter,A
1606,Charter,A
1607,Charter,A
1608,Charter,A
1609,Charter,A
1610,Charter,A
1611,Charter,A
1612,Charter,A
1613,Charter,A
1614,Charter,A
1653,Charter,A
1655,Charter,A
1701,Charter,A
1702,Charter,A
1719,Charter,A
1721,Charter,A
1740,Charter,A
1745,Charter,A
1748,Charter,A
1749,Charter,A
1752,Charter,A
1756,Charter,A
1757,Charter,A
1772,Charter,A
1827,Charter,A
1879,Charter,A
1886,Charter,A
2019,Charter,A
2026,Charter,A
2171,Charter,A
2420,Charter,A
2421,Charter,A
2720,Charter,A
2747,Charter,A
2748,Charter,A
2760,Charter,A
2790,Charter,A
2791,Charter,A
20639,Charter,A
20815,Charter,A
20876,Charter,A
21817,Charter,A
21838,Charter,A
48002,Charter,A
48003,Charter,A
48009,Charter,A
48025,Charter,A
48033,Charter,A
48034,Charter,A
48051,Charter,A
48060,Charter,A
48065,Charter,A
48075,Charter,A
48084,Charter,A
48085,Charter,A
48095,Charter,A
48098,Charter,A
48103,Charter,A
48105,Charter,A
48108,Charter,A
48111,Charter,A
48116,Charter,A
48117,Charter,A
48118,Charter,A
48130,Charter,A
48131,Charter,A
48133,Charter,A
48134,Charter,A
48137,Charter,A
48139,Charter,A
48140,Charter,A
48143,Charter,A
48145,Charter,A
48150,Charter,A
48154,Charter,A
